TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
b_b018625,3,여,40,2,7,4,4,4,5,5,7,3.0,2,1,"['경북+경주시+교동', '경북+경주시+진현동', '경북+경주시+천군동']"
b_b017827,2,여,50,2,5,4,4,6,4,3,2,2.0,1,1,['강원+춘천시+사농동']
b_b007857,22,여,30,1,7,4,1,2,4,2,6,2.0,5,0,"['강원+삼척시+남양동', '강원+동해시+묵호진동']"
b_b004923,8,남,30,4,2,1,2,3,2,2,5,1.0,1,3,['강원+철원군+철원읍']
b_b013735,22,남,30,3,2,1,3,5,4,4,6,7.0,1,1,['경북+청송군+주왕산면']
b_b003839,4,여,20,4,3,2,3,4,3,3,5,3.0,1,1,"['대구+중구+동산동', '대구+중구+대신동', '대구+중구+대봉동', '대구+중구+계산동2가', '대구+동구+신천동']"
b_b005439,24,남,30,3,2,2,4,4,4,5,2,1.0,4,0,"['강원+속초시+대포동', '강원+속초시+청호동', '강원+속초시+조양동']"
b_b001096,2,남,50,4,5,4,3,4,5,4,4,2.0,2,1,['강원+삼척시+근덕면']
b_b006664,22,여,30,2,2,3,6,2,6,2,2,1.0,2,1,['경남+양산시+물금읍']
b_b008138,1,남,30,3,1,1,2,1,5,3,5,3.0,3,1,['강원+속초시+동명동']
b_b013792,11,여,20,2,2,4,4,6,7,1,6,6.0,5,0,['대구+수성구+두산동']
b_b014149,2,여,20,7,1,1,1,7,7,1,7,3.0,1,1,['부산+기장군+기장읍']
b_b001995,2,여,20,7,1,1,7,7,7,7,7,1.0,1,1,"['경북+경주시+인왕동', '경북+경주시+천군동', '경북+경주시+황오동', '경북+경주시+황남동']"
b_b015915,21,여,20,2,2,2,2,2,6,2,6,2.0,6,3,"['강원+속초시+중앙동', '강원+속초시+조양동']"
b_b001161,22,여,20,6,4,3,2,4,5,6,5,3.0,1,4,"['부산+수영구+광안동', '부산+기장군+기장읍']"
b_b004573,2,여,50,2,2,2,2,2,4,1,7,1.0,5,4,['강원+평창군+봉평면']
