TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
d_d002122,카페유디에이,제주특별자치도,서귀포시,호근동,11.0,5.0,5.0,5.0,90.0,0,d002122,22,여,20,4,2,5,4,5,4,3,5,6,3.0,3,1
d_d002122,누구나홀딱반한닭 제주남원점,제주특별자치도,서귀포시,남원읍,11.0,4.0,4.0,3.0,30.0,0,d002122,22,여,20,4,2,5,4,5,4,3,5,6,3.0,3,1
d_d002122,후프바베큐,제주특별자치도,제주시,애월읍,11.0,5.0,5.0,5.0,90.0,0,d002122,22,여,20,4,2,5,4,5,4,3,5,6,3.0,3,1
d_d008161,삼춘반점,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,60.0,0,d008161,21,여,30,3,3,3,3,2,5,2,6,5,1.0,3,3
d_d005632,고기랑밥이랑,제주특별자치도,서귀포시,안덕면,11.0,4.0,4.0,4.0,60.0,0,d005632,3,남,50,2,2,6,2,6,2,6,6,2,9.0,1,1
d_d005632,제주흑돈만두 대정점,제주특별자치도,서귀포시,대정읍,11.0,4.0,4.0,4.0,60.0,0,d005632,3,남,50,2,2,6,2,6,2,6,6,2,9.0,1,1
d_d005632,스타벅스 제주송악산점,제주특별자치도,서귀포시,대정읍,11.0,4.0,4.0,4.0,120.0,0,d005632,3,남,50,2,2,6,2,6,2,6,6,2,9.0,1,1
d_d000895,복자씨연탄구이,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,60.0,0,d000895,21,여,20,5,3,1,1,1,2,6,6,6,2.0,1,3
d_d000895,호자,제주특별자치도,제주시,구좌읍,11.0,5.0,5.0,5.0,30.0,0,d000895,21,여,20,5,3,1,1,1,2,6,6,6,2.0,1,3
d_d000895,논짓물,제주특별자치도,제주시,연동,11.0,5.0,5.0,5.0,60.0,0,d000895,21,여,20,5,3,1,1,1,2,6,6,6,2.0,1,3
d_d000895,제주미담,제주특별자치도,제주시,이도이동,11.0,5.0,5.0,5.0,30.0,0,d000895,21,여,20,5,3,1,1,1,2,6,6,6,2.0,1,3
b_b000542,허가네밀면전문점,경남,거제시,장평동,11.0,5.0,4.0,4.0,60.0,0,b000542,2,남,20,4,7,1,1,7,1,1,7,1,2.0,5,4
b_b000542,소문난원조조방낙지 본점,부산,동래구,명륜동,11.0,5.0,5.0,5.0,60.0,0,b000542,2,남,20,4,7,1,1,7,1,1,7,1,2.0,5,4
b_b000542,승아밥상,경남,거제시,하청면,11.0,5.0,5.0,5.0,60.0,0,b000542,2,남,20,4,7,1,1,7,1,1,7,1,2.0,5,4
b_b000542,다시초록섬,경남,거제시,장목면,11.0,5.0,5.0,5.0,60.0,0,b000542,2,남,20,4,7,1,1,7,1,1,7,1,2.0,5,4
d_d009075,시스터필드베이커리,제주특별자치도,서귀포시,강정동,11.0,5.0,5.0,5.0,30.0,1,d009075,3,여,20,4,5,1,2,3,2,3,6,2,2.0,1,0
d_d002875,스타벅스 제주중문점,제주특별자치도,서귀포시,색달동,11.0,5.0,5.0,5.0,60.0,1,d002875,2,여,40,6,4,4,4,2,4,4,4,6,3.0,1,2
d_d002875,서유기마라탕&훠궈,제주특별자치도,서귀포시,안덕면,11.0,5.0,5.0,5.0,60.0,0,d002875,2,여,40,6,4,4,4,2,4,4,4,6,3.0,1,2
d_d002875,중문미향해장국 본점,제주특별자치도,서귀포시,색달동,11.0,5.0,5.0,5.0,30.0,0,d002875,2,여,40,6,4,4,4,2,4,4,4,6,3.0,1,2
d_d011027,델문도,제주특별자치도,제주시,조천읍,11.0,4.0,4.0,4.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,순옥이네 명가 함덕점,제주특별자치도,제주시,조천읍,11.0,4.0,4.0,4.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,순전이해녀김밥,제주특별자치도,제주시,조천읍,11.0,3.0,3.0,3.0,30.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,공작흑돼지,제주특별자치도,제주시,조천읍,11.0,4.0,4.0,4.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,델문도 김녕점,제주특별자치도,제주시,구좌읍,11.0,5.0,5.0,5.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
