TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
a_a001998,수원화성,경기,수원시,장안구,2.0,4.0,4.0,4.0,30.0,1,a001998,12,남,20,1,4,2,2,3,4,4,5,3,3.0,1,1
a_a001998,화성행궁,경기,수원시,팔달구,2.0,4.0,3.0,4.0,30.0,1,a001998,12,남,20,1,4,2,2,3,4,4,5,3,3.0,1,1
a_a001998,롯데몰 수원점,경기,수원시,권선구,4.0,4.0,4.0,4.0,60.0,1,a001998,12,남,20,1,4,2,2,3,4,4,5,3,3.0,1,1
a_a006134,에버랜드,경기,용인시,처인구,6.0,4.0,4.0,4.0,600.0,0,a006134,2,여,40,4,4,5,5,6,6,5,4,5,1.0,3,4
a_a007924,마장호수출렁다리,경기,파주시,광탄면,1.0,4.0,4.0,5.0,60.0,1,a007924,27,남,30,9,2,2,2,3,3,3,4,3,3.0,2,2
b_b006351,효원공원 월화원,경기,수원시,팔달구,1.0,3.0,3.0,3.0,60.0,1,b006351,22,여,30,4,2,2,3,3,6,2,2,6,1.0,10,0
b_b006351,방화수류정,경기,수원시,팔달구,7.0,5.0,5.0,5.0,90.0,1,b006351,22,여,30,4,2,2,3,3,6,2,2,6,1.0,10,0
b_b006351,화성행궁,경기,수원시,팔달구,2.0,4.0,4.0,4.0,30.0,1,b006351,22,여,30,4,2,2,3,3,6,2,2,6,1.0,10,0
a_a000647,혜화역 4호선,서울,종로구,명륜4가,3.0,5.0,5.0,5.0,210.0,1,a000647,1,남,30,6,4,4,4,4,4,4,4,4,1.0,4,1
a_a001080,신세계프리미엄아울렛 여주,경기,여주시,상거동,4.0,4.0,4.0,4.0,120.0,0,a001080,23,여,20,5,3,1,1,4,7,5,5,7,3.0,5,1
a_a001080,이태원거리,서울,용산구,이태원동,4.0,4.0,3.0,3.0,30.0,1,a001080,23,여,20,5,3,1,1,4,7,5,5,7,3.0,5,1
a_a001080,이케아 광명점,경기,광명시,일직동,4.0,5.0,5.0,5.0,60.0,1,a001080,23,여,20,5,3,1,1,4,7,5,5,7,3.0,5,1
a_a003274,일산호수공원,경기,고양시,일산동구,1.0,5.0,5.0,5.0,120.0,1,a003274,5,여,20,2,2,1,6,5,2,6,6,6,1.0,1,1
a_a003274,코스트코 일산점,경기,고양시,일산동구,4.0,3.0,3.0,3.0,60.0,0,a003274,5,여,20,2,2,1,6,5,2,6,6,6,1.0,1,1
a_a003274,일산호수공원,경기,고양시,일산동구,1.0,3.0,3.0,4.0,30.0,0,a003274,5,여,20,2,2,1,6,5,2,6,6,6,1.0,1,1
a_a003274,일산호수공원,경기,고양시,일산동구,1.0,3.0,3.0,4.0,210.0,0,a003274,5,여,20,2,2,1,6,5,2,6,6,6,1.0,1,1
a_a000573,수원화성,경기,수원시,장안구,2.0,4.0,4.0,4.0,30.0,0,a000573,23,여,20,2,4,3,5,3,1,3,3,2,3.0,4,1
a_a006020,임진각 평화누리,경기,파주시,문산읍,1.0,5.0,5.0,5.0,120.0,1,a006020,1,남,30,7,4,1,4,1,3,4,2,4,1.0,1,2
a_a002239,롯데월드 어드벤처,서울,송파구,잠실동,6.0,5.0,5.0,5.0,180.0,1,a002239,23,남,20,4,7,1,7,2,1,2,1,3,1.0,5,0
a_a002239,남산공원 N서울타워,서울,용산구,용산동2가,1.0,5.0,5.0,5.0,60.0,0,a002239,23,남,20,4,7,1,7,2,1,2,1,3,1.0,5,0
a_a003449,자라섬 꽃테마공원,경기,가평군,가평읍,6.0,5.0,5.0,4.0,90.0,0,a003449,4,여,20,4,4,2,2,3,6,6,3,5,3.0,2,1
a_a003449,여의도한강공원,서울,영등포구,여의도동,1.0,4.0,3.0,3.0,60.0,0,a003449,4,여,20,4,4,2,2,3,6,6,3,5,3.0,2,1
a_a003449,창덕궁,서울,종로구,와룡동,2.0,1.0,3.0,3.0,90.0,0,a003449,4,여,20,4,4,2,2,3,6,6,3,5,3.0,2,1
a_a003449,동대문디자인플라자,서울,중구,을지로7가,3.0,5.0,3.0,3.0,90.0,0,a003449,4,여,20,4,4,2,2,3,6,6,3,5,3.0,2,1
a_a003822,물의정원,경기,남양주시,조안면,1.0,5.0,5.0,5.0,120.0,0,a003822,22,여,30,4,3,6,1,1,5,6,2,3,1.0,3,0
a_a005258,남한산성,경기,광주시,남한산성면,2.0,4.0,5.0,5.0,120.0,0,a005258,21,남,30,6,4,2,5,2,6,6,6,6,2.0,4,1
a_a001702,산정호수,경기,포천시,영북면,7.0,4.0,4.0,4.0,60.0,0,a001702,21,여,30,4,2,2,2,3,4,2,3,7,2.0,4,4
a_a001702,허브아일랜드,경기,포천시,신북면,6.0,4.0,4.0,4.0,120.0,0,a001702,21,여,30,4,2,2,2,3,4,2,3,7,2.0,4,4
a_a001702,고석정꽃밭,강원,철원군,동송읍,1.0,4.0,3.0,4.0,30.0,0,a001702,21,여,30,4,2,2,2,3,4,2,3,7,2.0,4,4
a_a017555,장릉,경기,김포시,풍무동,2.0,4.0,5.0,4.0,60.0,0,a017555,3,여,30,4,5,1,3,4,5,3,5,4,8.0,6,2
a_a017667,IFC몰,서울,영등포구,여의도동,4.0,4.0,4.0,4.0,90.0,0,a017667,1,남,30,6,7,3,1,1,1,6,7,4,1.0,1,1
a_a002209,혜화역 4호선,서울,종로구,명륜4가,4.0,5.0,5.0,5.0,60.0,1,a002209,6,여,20,5,4,4,2,4,4,4,4,4,2.0,7,0
a_a004771,장릉,경기,김포시,풍무동,2.0,4.0,2.0,3.0,60.0,0,a004771,3,남,40,6,2,1,6,2,1,3,1,2,1.0,6,0
a_a011873,경복궁,서울,종로구,세종로,2.0,5.0,4.0,5.0,30.0,0,a011873,3,여,20,2,3,3,6,5,7,6,6,5,2.0,2,0
a_a011873,통인시장,서울,종로구,통인동,4.0,3.0,2.0,2.0,30.0,1,a011873,3,여,20,2,3,3,6,5,7,6,6,5,2.0,2,0
a_a003144,석촌호수 서호,서울,송파구,잠실동,1.0,4.0,4.0,5.0,90.0,0,a003144,25,여,20,2,2,2,2,1,2,2,1,6,7.0,2,1
a_a003144,석촌호수 동호,서울,송파구,신천동,7.0,4.0,4.0,4.0,30.0,0,a003144,25,여,20,2,2,2,2,1,2,2,1,6,7.0,2,1
a_a008052,송리단길,서울,송파구,송파동,4.0,4.0,4.0,4.0,90.0,0,a008052,6,여,40,9,3,4,3,4,4,3,3,6,5.0,1,0
a_a008052,롯데월드타워&롯데월드몰,서울,송파구,신천동,4.0,4.0,4.0,5.0,30.0,0,a008052,6,여,40,9,3,4,3,4,4,3,3,6,5.0,1,0
a_a008052,석촌호수 동호,서울,송파구,신천동,7.0,4.0,5.0,5.0,30.0,0,a008052,6,여,40,9,3,4,3,4,4,3,3,6,5.0,1,0
a_a001736,미사호수공원,경기,하남시,망월동,1.0,5.0,5.0,5.0,30.0,0,a001736,24,여,30,5,5,4,3,6,6,5,4,2,2.0,1,2
a_a004915,일산호수공원,경기,고양시,일산동구,1.0,5.0,5.0,5.0,120.0,1,a004915,21,여,40,7,3,5,1,3,3,1,5,1,6.0,1,0
a_a010137,덕수궁,서울,중구,정동,2.0,5.0,5.0,5.0,120.0,1,a010137,3,남,20,4,2,3,3,4,4,3,3,7,1.0,3,0
a_a008616,두물머리,경기,양평군,양서면,1.0,5.0,4.0,4.0,150.0,0,a008616,21,여,30,4,2,2,5,3,2,1,2,6,2.0,5,0
a_a008616,테르메덴,경기,이천시,모가면,6.0,5.0,4.0,4.0,180.0,1,a008616,21,여,30,4,2,2,5,3,2,1,2,6,2.0,5,0
a_a008616,양평물맑은시장,경기,양평군,양평읍,4.0,3.0,3.0,3.0,30.0,0,a008616,21,여,30,4,2,2,5,3,2,1,2,6,2.0,5,0
a_a008616,용문사,경기,양평군,용문면,2.0,5.0,5.0,5.0,90.0,0,a008616,21,여,30,4,2,2,5,3,2,1,2,6,2.0,5,0
a_a007378,양화한강공원,서울,영등포구,당산동,1.0,5.0,5.0,5.0,210.0,0,a007378,5,여,20,5,2,1,2,4,4,4,3,6,6.0,3,3
a_a002378,에버랜드,경기,용인시,처인구,6.0,4.0,4.0,4.0,300.0,0,a002378,2,남,20,7,6,3,5,7,6,6,5,5,7.0,2,0
a_a002378,난지한강공원,서울,마포구,상암동,1.0,5.0,5.0,5.0,420.0,0,a002378,2,남,20,7,6,3,5,7,6,6,5,5,7.0,2,0
a_a006001,서오릉,경기,고양시,덕양구,2.0,5.0,5.0,5.0,60.0,1,a006001,3,여,40,4,4,4,4,4,4,4,4,4,8.0,1,1
a_a006545,광장시장,서울,종로구,예지동,4.0,5.0,5.0,5.0,60.0,1,a006545,1,남,20,2,6,1,1,5,4,4,3,7,3.0,1,1
