SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,하양한,제주시,구좌읍,11.0,37.5,4.75,0.0,0.75,4.5
제주특별자치도,하멜,제주시,노형동,11.0,45.0,4.5,0.0,0.5,4.5
제주특별자치도,물항식당 본점,제주시,건입동,11.0,40.0,4.333333333333333,0.0,0.3333333333333333,4.0
제주특별자치도,제주김만복 함덕점,제주시,조천읍,11.0,40.0,3.333333333333333,0.3333333333333333,0.6666666666666666,3.333333333333333
제주특별자치도,꼬란,서귀포시,서귀동,11.0,37.5,3.75,0.25,1.0,3.75
제주특별자치도,첨밀밀양꼬치 함덕점,제주시,조천읍,11.0,75.0,5.0,1.0,0.0,5.0
제주특별자치도,신화돌담집,서귀포시,안덕면,11.0,90.0,3.5,0.0,3.0,4.0
제주특별자치도,낙지로,제주시,연동,11.0,45.0,5.0,0.0,1.0,5.0
제주특별자치도,기흥어물,서귀포시,서귀동,11.0,75.0,5.0,0.0,1.0,5.0
제주특별자치도,산방식당 제주점,제주시,이도이동,11.0,45.0,5.0,0.5,1.0,5.0
제주특별자치도,어덜트밤비노,제주시,아라일동,11.0,75.0,1.5,0.0,0.5,1.5
제주특별자치도,배스킨라빈스 신제주점,제주시,노형동,11.0,30.0,4.5,0.5,1.0,4.5
제주특별자치도,지은이네밥상,서귀포시,성산읍,11.0,30.0,4.0,0.0,1.5,4.0
제주특별자치도,카페더씨,서귀포시,성산읍,11.0,60.0,3.0,0.0,0.5,2.5
제주특별자치도,보스코,서귀포시,대정읍,11.0,60.0,5.0,0.0,2.0,5.0
제주특별자치도,제주순풍 신제주본점,제주시,노형동,11.0,60.0,5.0,0.0,2.0,5.0
제주특별자치도,이로리,제주시,구좌읍,11.0,180.0,5.0,0.0,1.0,5.0
제주특별자치도,테라도스,제주시,애월읍,11.0,45.0,3.75,0.0,1.75,3.25
제주특별자치도,페이보리오리,서귀포시,하효동,11.0,45.0,4.5,0.0,1.0,4.5
제주특별자치도,카페닐스,제주시,한림읍,11.0,75.0,5.0,0.5,1.5,5.0
제주특별자치도,옥돔식당,서귀포시,대정읍,11.0,45.0,4.0,0.5,3.5,4.0
제주특별자치도,일도촌,제주시,일도2동,11.0,75.0,4.5,0.0,0.5,4.5
제주특별자치도,국수만찬,제주시,연동,11.0,40.0,5.0,0.0,1.0,5.0
제주특별자치도,해비치호텔앤리조트 제주 이디,서귀포시,표선면,11.0,90.0,5.0,0.5,0.0,5.0
