SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,성산을본갈치조림구이 제주성산일출봉점,서귀포시,성산읍,11.0,60.0,4.5,0.5,1.5,3.5
제주특별자치도,카페살레,제주시,우도면,11.0,50.0,4.0,0.3333333333333333,0.6666666666666666,3.6666666666666665
제주특별자치도,애월온기,제주시,애월읍,11.0,52.5,3.5,0.25,1.25,3.25
제주특별자치도,취향의섬 키친,서귀포시,남원읍,11.0,60.0,4.666666666666667,0.0,1.6666666666666667,4.666666666666667
제주특별자치도,돔베돈,제주시,건입동,11.0,60.0,4.5,0.0,1.0,3.0
제주특별자치도,제주순메밀막국수,서귀포시,안덕면,11.0,60.0,4.0,0.0,1.0,4.0
제주특별자치도,채정하,제주시,구좌읍,11.0,60.0,3.0,0.0,1.5,3.0
제주특별자치도,만월당,서귀포시,남원읍,11.0,50.0,3.0,0.0,1.0,3.0
제주특별자치도,가스름식당,서귀포시,표선면,11.0,60.0,3.5,0.0,1.5,3.5
제주특별자치도,구이사이식당,제주시,애월읍,11.0,60.0,5.0,0.5,4.0,5.0
제주특별자치도,인디안썸머,제주시,애월읍,11.0,102.0,4.4,0.2,2.6,4.4
제주특별자치도,라 플라주,제주시,조천읍,11.0,45.0,4.0,0.0,1.0,3.5
제주특별자치도,천금반점,제주시,삼도2동,11.0,45.0,3.0,0.0,2.5,2.5
제주특별자치도,친구테이블,제주시,조천읍,11.0,60.0,3.5,0.0,2.5,3.5
제주특별자치도,에이바우트커피 한라대점,제주시,노형동,11.0,30.0,4.0,0.0,1.5,4.0
제주특별자치도,네이처캔버스,서귀포시,남원읍,11.0,45.0,4.0,0.0,2.5,3.0
제주특별자치도,빽다방 제주함덕점,제주시,조천읍,11.0,75.0,5.0,0.0,2.0,5.0
제주특별자치도,구씨커피로스터스,제주시,구좌읍,11.0,45.0,5.0,0.0,1.0,4.0
제주특별자치도,협재고기부엌,제주시,한림읍,11.0,90.0,4.0,0.0,1.75,3.5
제주특별자치도,에이바우트커피뷰 하귀포구점,제주시,애월읍,11.0,135.0,3.5,0.0,1.5,3.5
제주특별자치도,새물국수,서귀포시,안덕면,11.0,45.0,3.0,0.0,1.0,3.5
제주특별자치도,동선제면가,서귀포시,남원읍,11.0,50.0,4.666666666666667,0.0,3.333333333333333,4.0
제주특별자치도,513텐동 제주점,제주시,내도동,11.0,70.0,4.0,0.3333333333333333,1.3333333333333333,4.0
제주특별자치도,태공식당,제주시,애월읍,11.0,60.0,4.0,0.5,0.5,4.0
제주특별자치도,달빛에구운고등어 제주이도점,제주시,이도이동,11.0,60.0,3.5,0.0,3.0,3.5
제주특별자치도,낭쿰낭쿰,서귀포시,서귀동,11.0,60.0,4.2,0.0,1.6,3.8
제주특별자치도,카페이면,제주시,한림읍,11.0,80.0,4.666666666666667,0.0,0.3333333333333333,4.666666666666667
제주특별자치도,달리책방,제주시,한림읍,11.0,75.0,4.0,0.0,0.0,4.0
제주특별자치도,옹포83,제주시,한림읍,11.0,60.0,4.0,0.0,0.0,4.0
제주특별자치도,서울앵무새 제주점,서귀포시,색달동,11.0,50.0,3.5,0.0,2.6666666666666665,3.0
제주특별자치도,카페B,제주시,연동,11.0,30.0,4.0,0.5,0.0,4.0
제주특별자치도,아주좋아,제주시,연동,11.0,180.0,3.5,0.0,2.5,3.5
제주특별자치도,돈사돈 별관,제주시,노형동,11.0,67.5,4.75,0.0,0.75,4.5
제주특별자치도,몰돗,제주시,조천읍,11.0,60.0,5.0,0.0,0.0,5.0
제주특별자치도,고래날다,제주시,구좌읍,11.0,240.0,2.5,0.0,1.0,2.0
제주특별자치도,호정이네,서귀포시,대정읍,11.0,70.0,4.666666666666667,0.0,4.333333333333333,4.666666666666667
제주특별자치도,방모루,제주시,구좌읍,11.0,60.0,5.0,0.0,1.0,4.5
제주특별자치도,보라지붕,제주시,조천읍,11.0,60.0,4.0,0.0,2.0,4.0
제주특별자치도,망고홀릭 애월해안도로점,제주시,애월읍,11.0,30.0,4.0,0.0,2.0,4.0
제주특별자치도,장위동유성집 중문점,서귀포시,중문동,11.0,75.0,4.5,0.0,3.0,5.0
제주특별자치도,북촌에가면,제주시,조천읍,11.0,75.0,4.5,0.0,1.0,4.0
제주특별자치도,비케이브,제주시,조천읍,11.0,55.0,3.8333333333333335,0.0,1.1666666666666667,2.833333333333333
제주특별자치도,시키,제주시,애월읍,11.0,45.0,4.0,0.0,0.5,3.5
제주특별자치도,스타벅스 서귀포DT,서귀포시,강정동,11.0,47.142857142857146,4.285714285714286,0.4285714285714285,0.5714285714285714,4.142857142857143
